Purchase Price,AM or PM,Browser Info,Language,Company,Credit Card,CC Exp Date,CC Security Code,CC Provider,Address
82.48,PM,Opera/9.12.(Windows 98; sl-SI) Presto/2.9.175 Version/10.00,en,Underwood-Morgan,4529081312229,11/23,257,JCB 15 digit,70.192.72.216
48.74,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; en-US) AppleWebKit/534.33.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6534.33.7",pt,Sims-Lyons,3158113629128344,09/19,857,VISA 16 digit,227.235.89.210
77.67,AM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_7; rv:1.9.5.20) Gecko/2012-12-13 14:38:07 Firefox/3.6.19,el,"Taylor, Lloyd and Aguilar",3088511373952816,02/26,813,VISA 16 digit,100.59.92.18
65.85,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2012-10-18 11:33:26 Firefox/9.0,es,Coleman-Thompson,60441789637,01/24,56,Maestro,135.11.140.254
10.87,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_6 rv:6.0; it-IT) AppleWebKit/535.40.7 (KHTML, like Gecko) Version/4.0.4 Safari/535.40.7",el,"Decker, Wilson and Brown",210066586272145,06/18,609,Mastercard,145.187.139.93
87.05,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/5350 (KHTML, like Gecko) Chrome/13.0.891.0 Safari/5350",zh,Vaughan-Daniel,3337792525603205,10/20,662,Discover,70.252.8.183
20.43,AM,Opera/8.68.(X11; Linux x86_64; en-US) Presto/2.9.160 Version/12.00,de,Marshall-Fernandez,349767747049645,05/20,672,JCB 15 digit,197.144.142.102
17.65,AM,"Mozilla/5.0 (Windows 98) AppleWebKit/5321 (KHTML, like Gecko) Chrome/14.0.861.0 Safari/5321",el,"Turner, Juarez and Barnes",4107899971187,01/17,6113,VISA 16 digit,109.226.81.75
40.4,AM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5341 (KHTML, like Gecko) Chrome/14.0.839.0 Safari/5341",de,"White, Reese and Arnold",4707246703256,09/25,671,VISA 13 digit,237.133.183.104
44.11,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; en-US) AppleWebKit/531.40.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6531.40.1",de,Evans LLC,4048210894501098,08/19,652,JCB 16 digit,92.35.87.14
72.45,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_2 rv:3.0; it-IT) AppleWebKit/534.40.7 (KHTML, like Gecko) Version/4.0 Safari/534.40.7",it,Villa Inc,869930676434762,11/21,578,Discover,218.171.210.9
47.82,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2011-02-20 05:10:34 Firefox/3.8,pt,"Cruz, Barrett and Fisher",4115398853010199,06/21,477,VISA 16 digit,48.245.12.238
24.0,AM,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_8; rv:1.9.5.20) Gecko/2014-12-03 00:18:35 Firefox/3.8,en,Ewing and Sons,6011879049056030,07/23,352,JCB 16 digit,145.98.94.228
37.51,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5350 (KHTML, like Gecko) Chrome/13.0.876.0 Safari/5350",pt,Perkins Ltd,30192367132296,01/20,802,Mastercard,111.119.35.244
76.89,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.1),en,"Jones, Perez and Cole",3112101128292245,03/21,291,American Express,106.47.211.234
33.86,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.0),pt,Floyd Group,30570877809646,07/23,320,Voyager,163.73.80.163
78.91,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4 rv:4.0; it-IT) AppleWebKit/532.49.5 (KHTML, like Gecko) Version/5.0.1 Safari/532.49.5",ru,Garcia-Leon,4754420478628,09/25,65,JCB 16 digit,213.132.122.145
83.27,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sl-SI) AppleWebKit/535.28.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6535.28.2",it,Martin-Carlson,6011247468571287,01/21,5345,American Express,55.47.58.235
61.47,PM,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_0; rv:1.9.6.20) Gecko/2010-06-25 09:31:27 Firefox/3.6.16,pt,Riley PLC,4423224303743,12/23,355,VISA 13 digit,151.217.159.120
31.49,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/4.0),el,"Benson, Smith and Stevenson",4423155549717604,11/22,709,Voyager,253.240.59.192
43.33,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2014-01-26 18:59:43 Firefox/13.0,zh,"Hayes, Vance and Anderson",869934742446636,01/18,727,VISA 16 digit,41.222.115.24
87.81,AM,Opera/8.29.(Windows 95; sl-SI) Presto/2.9.161 Version/10.00,zh,Bush and Sons,4967640718082,08/22,274,JCB 15 digit,79.249.162.221
57.34,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_9 rv:4.0; sl-SI) AppleWebKit/533.3.3 (KHTML, like Gecko) Version/4.1 Safari/533.3.3",fr,Jacobs-Tucker,6011343518820988,01/17,806,Voyager,110.24.190.102
20.77,AM,"Mozilla/5.0 (Windows 95) AppleWebKit/5342 (KHTML, like Gecko) Chrome/13.0.872.0 Safari/5342",en,Hampton Group,3096955150599680,02/23,529,Diners Club / Carte Blanche,91.84.71.42
38.88,AM,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.41.3 (KHTML, like Gecko) Version/4.1 Safari/532.41.3",el,Morgan-Fleming,3337080082881103,07/25,35,VISA 16 digit,8.228.197.79
8.67,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2013-03-15 11:16:33 Firefox/3.8,zh,Hall and Sons,345049869053000,08/25,702,VISA 13 digit,203.19.4.135
77.5,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/5.0),it,Perez PLC,210052619871160,09/20,738,Voyager,171.121.191.128
60.69,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.1),it,Fowler Inc,3096082589629929,05/21,464,JCB 16 digit,182.97.199.146
49.04,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; it-IT) AppleWebKit/532.13.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6532.13.7",fr,"Robinson, Johnston and Valdez",4351359627548412,06/17,937,VISA 13 digit,81.117.233.145
46.45,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.1),it,Moyer LLC,639054559864,01/20,709,Maestro,222.87.50.202
75.34,PM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2013-06-17 17:05:53 Firefox/5.0,fr,Guerrero PLC,4276544900618,10/19,558,JCB 15 digit,153.253.89.153
86.56,AM,Mozilla/5.0 (Windows NT 6.2; en-US; rv:1.9.2.20) Gecko/2016-04-01 16:11:48 Firefox/3.8,el,Taylor-Rojas,30077423594250,01/22,536,VISA 16 digit,37.168.13.192
90.0,PM,Opera/8.32.(Windows NT 5.1; sl-SI) Presto/2.9.169 Version/12.00,de,Figueroa-Jones,4505820111106,11/25,446,VISA 16 digit,200.222.13.136
46.63,AM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5330 (KHTML, like Gecko) Chrome/14.0.806.0 Safari/5330",ru,Ortiz and Sons,4689681072647,08/23,73,VISA 16 digit,217.203.235.236
47.67,PM,Opera/9.52.(Windows NT 5.01; sl-SI) Presto/2.9.172 Version/10.00,zh,Martinez Ltd,5281638399252044,02/18,5266,Mastercard,150.128.185.212
35.01,AM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2; rv:1.9.6.20) Gecko/2010-05-03 22:51:58 Firefox/3.8,el,"Fletcher, Spencer and Caldwell",374818667778230,06/18,952,Voyager,12.242.182.172
78.86,AM,Mozilla/5.0 (Windows NT 5.2; it-IT; rv:1.9.1.20) Gecko/2012-11-11 14:36:03 Firefox/3.6.15,es,Copeland-Lee,639032576097,06/18,868,Mastercard,153.188.13.203
33.92,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_7) AppleWebKit/5362 (KHTML, like Gecko) Chrome/15.0.837.0 Safari/5362",fr,Robinson-Vargas,4215761669097552,12/24,83,JCB 16 digit,89.214.57.82
73.41,AM,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/3.0),zh,"Williams, Goodman and Morris",4748275281424579,01/18,496,JCB 15 digit,142.4.17.207
63.07,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; it-IT) AppleWebKit/531.47.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.47.2",es,Norman-Shaw,4276742718499,01/18,683,VISA 16 digit,4.86.224.90
0.61,AM,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_9; rv:1.9.3.20) Gecko/2015-06-21 02:19:08 Firefox/3.8,en,"Salazar, Harris and Webster",5144649980077788,04/23,670,Mastercard,67.173.31.160
19.56,PM,Opera/9.21.(Windows NT 6.1; sl-SI) Presto/2.9.170 Version/10.00,fr,Moore-Hall,3088798824982514,04/18,928,JCB 16 digit,84.1.209.9
77.51,AM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_2 rv:4.0; it-IT) AppleWebKit/532.27.1 (KHTML, like Gecko) Version/5.1 Safari/532.27.1",fr,Knight LLC,60498172646,09/25,600,Voyager,200.220.84.25
17.2,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2013-10-02 16:14:07 Firefox/7.0,ru,"Parker, Nelson and Delgado",3528362130154694,02/25,366,Mastercard,87.201.75.83
38.75,AM,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/3.0),fr,Simpson Inc,376660848256225,08/23,215,American Express,10.7.215.57
50.6,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/5.0),fr,"Harper, Patrick and Richards",4913535442412,07/22,548,American Express,136.255.248.130
4.36,AM,Opera/9.42.(X11; Linux x86_64; en-US) Presto/2.9.171 Version/10.00,el,"Guerrero, Benson and Johnson",4156259661649,11/24,289,Maestro,58.191.1.216
93.72,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/5.1),ru,Davenport-Gonzales,4760561833299,10/16,21,Voyager,214.45.97.139
91.67,PM,Mozilla/5.0 (Windows NT 6.1; it-IT; rv:1.9.0.20) Gecko/2012-04-29 18:01:39 Firefox/3.8,ru,"Bradley, Cordova and Howell",6011922232822485,12/16,654,VISA 16 digit,64.241.252.74
51.37,AM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_9) AppleWebKit/5342 (KHTML, like Gecko) Chrome/13.0.881.0 Safari/5342",it,Brown Inc,30276609779632,03/22,676,Discover,36.28.57.32
71.95,AM,Opera/8.41.(Windows NT 6.1; it-IT) Presto/2.9.189 Version/12.00,it,"Romero, Newton and Brown",348578376501561,04/17,21,Discover,214.191.135.103
31.73,AM,Opera/8.66.(X11; Linux x86_64; it-IT) Presto/2.9.171 Version/10.00,en,Martin Group,6011461160091540,06/21,513,JCB 16 digit,135.22.243.158
12.47,PM,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.0),ru,Powers-Robinson,210040671644427,04/25,896,Mastercard,9.158.148.27
26.27,PM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_6; rv:1.9.2.20) Gecko/2014-10-07 20:39:22 Firefox/3.6.12,es,Harrison-Villarreal,5227129908327896,11/21,164,JCB 16 digit,148.183.155.141
94.08,PM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5321 (KHTML, like Gecko) Chrome/13.0.863.0 Safari/5321",pt,Lee-Ponce,4844407681240346,07/17,445,Discover,192.138.227.24
60.79,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_1 rv:5.0; en-US) AppleWebKit/533.28.3 (KHTML, like Gecko) Version/5.0.2 Safari/533.28.3",fr,Foster-Moyer,6011405492710392,09/16,912,JCB 16 digit,36.123.232.211
66.44,PM,Opera/9.63.(Windows NT 6.1; en-US) Presto/2.9.169 Version/10.00,it,Boyd LLC,4305067842460951,06/21,1366,JCB 15 digit,40.203.251.119
39.0,PM,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/5320 (KHTML, like Gecko) Chrome/15.0.822.0 Safari/5320",en,"Kline, Stout and Conrad",6011099548753157,05/21,516,Diners Club / Carte Blanche,16.199.254.241
31.48,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_9 rv:2.0; it-IT) AppleWebKit/532.42.1 (KHTML, like Gecko) Version/4.0 Safari/532.42.1",en,Kelley-Jackson,3112230718725791,10/17,553,VISA 13 digit,11.27.156.193
11.21,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_6 rv:6.0; en-US) AppleWebKit/532.6.4 (KHTML, like Gecko) Version/4.1 Safari/532.6.4",es,Webb-Landry,5139494321155176,06/20,7237,Mastercard,222.175.0.83
77.75,AM,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/5331 (KHTML, like Gecko) Chrome/14.0.894.0 Safari/5331",pt,Mcbride and Sons,210064795352915,08/18,9413,Maestro,205.48.101.138
68.63,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/3.0),en,Herrera-Mclean,869931738337522,05/25,86,VISA 16 digit,149.62.165.156
93.69,PM,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/3.0),it,Anderson-Miller,4800856721908977,05/19,396,Diners Club / Carte Blanche,185.173.26.39
64.15,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5311 (KHTML, like Gecko) Chrome/13.0.860.0 Safari/5311",en,"Martinez, Rodriguez and Romero",4723833428371,10/18,140,Maestro,126.111.34.193
43.29,AM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5341 (KHTML, like Gecko) Chrome/15.0.818.0 Safari/5341",zh,"Richardson, Moore and Dunn",4534735510355991,08/18,3257,Maestro,104.199.101.123
74.0,AM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_0 rv:4.0; sl-SI) AppleWebKit/533.20.7 (KHTML, like Gecko) Version/4.1 Safari/533.20.7",en,Horne Group,210014710207975,09/21,745,VISA 16 digit,63.181.125.67
93.7,PM,Opera/9.98.(Windows NT 6.1; sl-SI) Presto/2.9.172 Version/10.00,en,Green-Jones,4290973020590,07/24,5148,Mastercard,30.173.103.131
54.69,PM,Mozilla/5.0 (Windows CE; sl-SI; rv:1.9.1.20) Gecko/2015-06-16 16:34:56 Firefox/15.0,fr,Flores-Hill,180035678800879,03/19,667,Mastercard,41.162.46.104
35.79,PM,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/532.14.1 (KHTML, like Gecko) Version/5.0.5 Safari/532.14.1",el,Fox-Donovan,210014379311217,03/23,184,JCB 15 digit,64.255.151.180
49.88,PM,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/5.0),en,Weiss-Scott,4902917815801150,03/24,882,Maestro,169.221.7.42
90.85,PM,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_1; rv:1.9.6.20) Gecko/2014-09-05 18:39:02 Firefox/11.0,pt,Hernandez Inc,869969318077811,01/24,695,Diners Club / Carte Blanche,42.86.147.252
36.28,PM,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/4.0),pt,Welch LLC,30089253048265,06/22,521,VISA 16 digit,49.21.44.110
